message_id,text,timestamp,time_in_seconds,author_name,author_id
ChwKGkNOUC03LW01aFlrREZTbVI1UWNkUlNNRnBR,:pancakes:,1728619600415302,12866.745,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNNZlppdkM1aFlrREZiU1o1UWNkMWNnT2Zn,:shortcake:,1728619613435135,12879.838,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNMcXl6Zkc1aFlrREZaOENzd0FkQXFNTWNR,:shallow_pan_of_food:,1728619616625021,12882.991,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNJZm85dmk1aFlrREZRMnA1UWNkTlRVZW93,:neutral_face:,1728619631983689,12898.357,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNNM0MtdjY1aFlrREZVYVE1UWNkaVE4c09B,:glasses::dark_sunglasses::magnifying_glass_tilted_left::magnifying_glass_tilted_right:,1728619644627313,12910.976,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNNLVpxNEs2aFlrREZhRWJyUVlkVl9zVDZR,:dizzy::ok_hand:,1728619651726648,12918.119,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMdXl0b3E2aFlrREZaZ19yUVlkOWFZNzRB,:field_hockey::hole:,1728619668676941,12935.057,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNdlV4cFc2aFlrREZmSXByUVlkVnVVUUlR,:trackball:,1728619692011243,12958.42,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLcUhtSm02aFlrREZUWE1sQWtkYWMwRUZ3,:wine_glass:,1728619699636835,12966.015,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNMeUV0WjI2aFlrREZXdk93Z1Fkb1J3cWd3,:rat:,1728619708501512,12974.922,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMaVp2SjI2aFlrREZSbzZzd0FkcGdNZzhB,:pancakes:,1728619708618061,12974.982,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNMT1U4WjY2aFlrREZWa0Jzd0Fkc1M0TnFn,:shortcake::birthday_cake:,1728619711583192,12977.934,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNJWE50NlM2aFlrREZkdk93Z1FkcTlNblhB,"Oh shit, a :rat:",1728619723221855,12989.632,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLS1M4S2k2aFlrREZYa2JyUVlkaW9JdGpB,just missed it :(,1728619732537911,12998.954,Jaboi,UC6KRFcTZ5DdRRS_y2zl37sw
ChwKGkNLWG5nNnE2aFlrREZRakxGZ2tkdDRvbFB3,food?:shallow_pan_of_food:,1728619734956545,13001.328,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNKT2VsSzY2aFlrREZlSEx3Z1FkRXQ4SlhR,:tamale:,1728619743613803,13010.052,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLU09nYkc2aFlrREZVeVg1UWNkUUI0M3hn,:duck:,1728619749594686,13015.947,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
